2.319999999999999840e+00,1.889999999999999902e+00,1.459999999999999964e+00,1.139999999999999902e+00,8.299999999999999600e-01,6.800000000000000488e-01,5.300000000000000266e-01
2.560000000000000053e+00,2.100000000000000089e+00,1.629999999999999893e+00,1.290000000000000036e+00,9.399999999999999467e-01,7.800000000000000266e-01,6.099999999999999867e-01
2.799999999999999822e+00,2.310000000000000053e+00,1.810000000000000053e+00,1.429999999999999938e+00,1.060000000000000053e+00,8.699999999999999956e-01,6.800000000000000488e-01
3.049999999999999822e+00,2.520000000000000018e+00,1.989999999999999991e+00,1.580000000000000071e+00,1.179999999999999938e+00,9.699999999999999734e-01,7.600000000000000089e-01
3.290000000000000036e+00,2.729999999999999982e+00,2.160000000000000142e+00,1.729999999999999982e+00,1.290000000000000036e+00,1.060000000000000053e+00,8.399999999999999689e-01
3.529999999999999805e+00,2.939999999999999947e+00,2.339999999999999858e+00,1.870000000000000107e+00,1.409999999999999920e+00,1.159999999999999920e+00,9.100000000000000311e-01
3.779999999999999805e+00,3.149999999999999911e+00,2.520000000000000018e+00,2.020000000000000018e+00,1.520000000000000018e+00,1.260000000000000009e+00,9.899999999999999911e-01
4.019999999999999574e+00,3.359999999999999876e+00,2.689999999999999947e+00,2.169999999999999929e+00,1.639999999999999902e+00,1.350000000000000089e+00,1.070000000000000062e+00
4.259999999999999787e+00,3.569999999999999840e+00,2.870000000000000107e+00,2.310000000000000053e+00,1.750000000000000000e+00,1.449999999999999956e+00,1.139999999999999902e+00
4.500000000000000000e+00,3.779999999999999805e+00,3.049999999999999822e+00,2.459999999999999964e+00,1.870000000000000107e+00,1.540000000000000036e+00,1.219999999999999973e+00
4.750000000000000000e+00,3.990000000000000213e+00,3.220000000000000195e+00,2.600000000000000089e+00,1.989999999999999991e+00,1.639999999999999902e+00,1.290000000000000036e+00
4.990000000000000213e+00,4.200000000000000178e+00,3.399999999999999911e+00,2.750000000000000000e+00,2.100000000000000089e+00,1.739999999999999991e+00,1.370000000000000107e+00
5.230000000000000426e+00,4.410000000000000142e+00,3.580000000000000071e+00,2.899999999999999911e+00,2.220000000000000195e+00,1.830000000000000071e+00,1.449999999999999956e+00
5.480000000000000426e+00,4.620000000000000107e+00,3.750000000000000000e+00,3.040000000000000036e+00,2.330000000000000071e+00,1.929999999999999938e+00,1.520000000000000018e+00
5.719999999999999751e+00,4.830000000000000071e+00,3.930000000000000160e+00,3.189999999999999947e+00,2.450000000000000178e+00,2.020000000000000018e+00,1.600000000000000089e+00
5.959999999999999964e+00,5.040000000000000036e+00,4.110000000000000320e+00,3.339999999999999858e+00,2.560000000000000053e+00,2.120000000000000107e+00,1.679999999999999938e+00
6.209999999999999964e+00,5.250000000000000000e+00,4.280000000000000249e+00,3.479999999999999982e+00,2.680000000000000160e+00,2.220000000000000195e+00,1.750000000000000000e+00
6.450000000000000178e+00,5.459999999999999964e+00,4.459999999999999964e+00,3.629999999999999893e+00,2.799999999999999822e+00,2.310000000000000053e+00,1.830000000000000071e+00
6.690000000000000391e+00,5.660000000000000142e+00,4.639999999999999680e+00,3.770000000000000018e+00,2.910000000000000142e+00,2.410000000000000142e+00,1.909999999999999920e+00
6.929999999999999716e+00,5.870000000000000107e+00,4.809999999999999609e+00,3.919999999999999929e+00,3.029999999999999805e+00,2.500000000000000000e+00,1.979999999999999982e+00
7.179999999999999716e+00,6.080000000000000071e+00,4.990000000000000213e+00,4.070000000000000284e+00,3.140000000000000124e+00,2.600000000000000089e+00,2.060000000000000053e+00
7.419999999999999929e+00,6.290000000000000036e+00,5.169999999999999929e+00,4.209999999999999964e+00,3.259999999999999787e+00,2.700000000000000178e+00,2.140000000000000124e+00
